trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.003, 'e': 0.6187833918061408}",25,12,-6.504525358297502,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.003, 'e': 0.6169298233735474}",25,11,-16.014531057818,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.003, 'e': 0.6150818073135287}",20,0,-133.76633833984621,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
164,False,"{'a': 0.003, 'e': 0.6132393269939275}",30,0,-162.21572870235462,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
165,False,"{'a': 0.003, 'e': 0.6114023658324087}",25,10,-28.345596410436702,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.003, 'e': 0.6095709072963093}",20,4,-37.102673253026275,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.003, 'e': 0.6077449349024902}",25,13,-44.27822857059393,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
168,False,"{'a': 0.003, 'e': 0.6059244322171875}",20,0,-14.208487731677534,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
169,False,"{'a': 0.003, 'e': 0.6041093828558647}",20,0,-6.433535833840598,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.003, 'e': 0.6022997704830654}",30,0,-122.16503257115221,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
171,False,"{'a': 0.003, 'e': 0.6004955788122659}",30,0,-49.99322594242758,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.003, 'e': 0.5986967916057292}",20,0,-80.76802783805837,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
173,False,"{'a': 0.003, 'e': 0.596903392674358}",35,9,-97.10341524932707,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 1}",1
174,False,"{'a': 0.003, 'e': 0.5951153658775501}",30,19,-3.6655503048004165,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.003, 'e': 0.593332695123052}",25,13,-3.206387586780688,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.003, 'e': 0.5915553643668151}",25,0,-135.29678746914584,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
177,False,"{'a': 0.003, 'e': 0.5897833576128504}",20,15,2.0525503719033886,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.003, 'e': 0.5880166589130854}",20,0,-24.55393926258335,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
179,False,"{'a': 0.003, 'e': 0.5862552523672196}",25,20,8.84770872335766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.003, 'e': 0.5844991221225824}",25,0,-2.47371768978043,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.003, 'e': 0.5827482523739896}",30,0,-183.53371778633877,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
182,False,"{'a': 0.003, 'e': 0.5810026273636019}",20,0,-14.4268838465617,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
183,False,"{'a': 0.003, 'e': 0.579262231380782}",20,0,-17.697634304808627,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
